id,question,answer,category
30,Как обменять валюту онлайн? (онлайн),Для уточнения информации обратитесь в ближайшее отделение. Процесс занимает несколько минут.,Комиссии и тарифы
31,Как открыть вклад онлайн? (на сайте),Для уточнения информации обратитесь в ближайшее отделение. Процесс занимает несколько минут.,Безопасность
32,Как оплатить коммунальные услуги? (в отделении),Оформление занимает несколько минут и не требует визита в офис. Понадобятся ваши паспортные данные.,Интернет-банк
33,Как открыть вклад онлайн? (в отделении),Вы можете воспользоваться функцией в разделе 'Продукты и услуги'. Процесс занимает несколько минут.,Кредиты
34,Как восстановить доступ к мобильному приложению? (онлайн),Оформление занимает несколько минут и не требует визита в офис. Процесс занимает несколько минут.,Карты
35,Как связаться со службой поддержки? (на сайте),Не сообщайте свои данные третьим лицам — это важно для вашей безопасности. Процесс занимает несколько минут.,Ипотека
36,Как узнать тариф по карте? (в отделении),Оформление занимает несколько минут и не требует визита в офис. Процесс занимает несколько минут.,Карты
37,Как оформить дебетовую карту? (через приложение),Не сообщайте свои данные третьим лицам — это важно для вашей безопасности. Услуга доступна круглосуточно.,Комиссии и тарифы
38,Как подключить зарплатный проект? (в отделении),Вы можете оформить услугу онлайн или в отделении банка. Процесс занимает несколько минут.,Зарплатные проекты
39,Как инвестировать через банк? (онлайн),Вы можете воспользоваться функцией в разделе 'Продукты и услуги'. Ответ придет на ваш email.,Платежи
40,Как перевести деньги на другую карту? (по телефону),Вы можете оформить услугу онлайн или в отделении банка. Понадобятся ваши паспортные данные.,Технические вопросы
41,Как подать заявку на ипотеку? (в отделении),Вы можете воспользоваться функцией в разделе 'Продукты и услуги'. Процесс занимает несколько минут.,Зарплатные проекты
42,Как работает кэшбэк по картам? (в отделении),Не сообщайте свои данные третьим лицам — это важно для вашей безопасности. Процесс занимает несколько минут.,Платежи
43,Как открыть расчётный счёт для бизнеса? (онлайн),Для уточнения информации обратитесь в ближайшее отделение. Процесс занимает несколько минут.,Комиссии и тарифы
44,Как обновить личные данные? (на сайте),Для этого потребуется авторизация в мобильном приложении или интернет-банке. Процесс занимает несколько минут.,Платежи
45,Как восстановить доступ к мобильному приложению? (через приложение),Не сообщайте свои данные третьим лицам — это важно для вашей безопасности. Процесс занимает несколько минут.,Инвестиции
46,Как подключить зарплатный проект? (по телефону),Оформление занимает несколько минут и не требует визита в офис. Услуга доступна круглосуточно.,Безопасность
47,Как оформить дебетовую карту? (через приложение),"Услуга доступна клиентам, прошедшим идентификацию. Услуга доступна круглосуточно.",Комиссии и тарифы
48,Как обменять валюту онлайн? (онлайн),Для этого потребуется авторизация в мобильном приложении или интернет-банке. Процесс занимает несколько минут.,Карты
49,Как открыть вклад онлайн? (на сайте),Проверьте актуальные условия на сайте банка. Ответ придет на ваш email.,Юридические лица
50,Как оформить дебетовую карту? (через приложение),Вы можете оформить услугу онлайн или в отделении банка. Ответ придет на ваш email.,Инвестиции
51,"Что делать, если потерял карту? (по телефону)",Не сообщайте свои данные третьим лицам — это важно для вашей безопасности. Услуга доступна круглосуточно.,Ипотека
52,Как открыть счёт на юридическое лицо? (на сайте),Вы получите уведомление после завершения операции. Ответ придет на ваш email.,Страхование
53,Как работает кэшбэк по картам? (в отделении),При возникновении проблем обратитесь в службу поддержки банка. Ответ придет на ваш email.,Платежи
54,Что делать при технических ошибках? (в отделении),При возникновении проблем обратитесь в службу поддержки банка. Процесс занимает несколько минут.,Личные данные
55,Как открыть счёт на юридическое лицо? (через приложение),Не сообщайте свои данные третьим лицам — это важно для вашей безопасности. Услуга доступна круглосуточно.,Карты
56,Как открыть счёт на юридическое лицо? (в отделении),Для этого потребуется авторизация в мобильном приложении или интернет-банке. Услуга доступна круглосуточно.,Поддержка
57,Как узнать тариф по карте? (через приложение),Проверьте актуальные условия на сайте банка. Ответ придет на ваш email.,Личные данные
58,Как узнать тариф по карте? (онлайн),Для уточнения информации обратитесь в ближайшее отделение. Процесс занимает несколько минут.,Зарплатные проекты
59,Как оплатить коммунальные услуги? (по телефону),Вы можете воспользоваться функцией в разделе 'Продукты и услуги'. Понадобятся ваши паспортные данные.,Валюта и обмен
60,Как связаться со службой поддержки? (онлайн),При возникновении проблем обратитесь в службу поддержки банка. Понадобятся ваши паспортные данные.,Юридические лица
61,Как восстановить доступ к мобильному приложению? (онлайн),Оформление занимает несколько минут и не требует визита в офис. Понадобятся ваши паспортные данные.,Зарплатные проекты
62,Как связаться со службой поддержки? (по телефону),Проверьте актуальные условия на сайте банка. Понадобятся ваши паспортные данные.,Инвестиции
63,Как связаться со службой поддержки? (онлайн),Проверьте актуальные условия на сайте банка. Процесс занимает несколько минут.,Личные данные
64,Как открыть счёт на юридическое лицо? (онлайн),Вы получите уведомление после завершения операции. Ответ придет на ваш email.,Кредиты
65,Что делать при технических ошибках? (через приложение),Вы получите уведомление после завершения операции. Услуга доступна круглосуточно.,Кэшбэк и бонусы
66,Как обновить личные данные? (в отделении),При возникновении проблем обратитесь в службу поддержки банка. Понадобятся ваши паспортные данные.,Кэшбэк и бонусы
67,Как обновить личные данные? (на сайте),Для этого потребуется авторизация в мобильном приложении или интернет-банке. Понадобятся ваши паспортные данные.,Инвестиции
68,Как работает кэшбэк по картам? (по телефону),При возникновении проблем обратитесь в службу поддержки банка. Понадобятся ваши паспортные данные.,Платежи
69,Как открыть счёт на юридическое лицо? (на сайте),При возникновении проблем обратитесь в службу поддержки банка. Понадобятся ваши паспортные данные.,Мобильное приложение
70,Как перевести деньги на другую карту? (в отделении),Проверьте актуальные условия на сайте банка. Услуга доступна круглосуточно.,Инвестиции
71,Как оформить страхование путешественников? (по телефону),"Услуга доступна клиентам, прошедшим идентификацию. Услуга доступна круглосуточно.",Вклады
72,Как открыть вклад онлайн? (через приложение),Для этого потребуется авторизация в мобильном приложении или интернет-банке. Ответ придет на ваш email.,Бизнес
73,Как восстановить доступ к мобильному приложению? (по телефону),Не сообщайте свои данные третьим лицам — это важно для вашей безопасности. Услуга доступна круглосуточно.,Технические вопросы
74,Как узнать тариф по карте? (в отделении),Не сообщайте свои данные третьим лицам — это важно для вашей безопасности. Ответ придет на ваш email.,Валюта и обмен
75,Как инвестировать через банк? (через приложение),Вы получите уведомление после завершения операции. Понадобятся ваши паспортные данные.,Кэшбэк и бонусы
76,Как обменять валюту онлайн? (онлайн),Оформление занимает несколько минут и не требует визита в офис. Понадобятся ваши паспортные данные.,Платежи
77,Как подать заявку на ипотеку? (по телефону),Проверьте актуальные условия на сайте банка. Услуга доступна круглосуточно.,Платежи
78,Как открыть расчётный счёт для бизнеса? (по телефону),При возникновении проблем обратитесь в службу поддержки банка. Услуга доступна круглосуточно.,Платежи
79,Как связаться со службой поддержки? (в отделении),Вы можете воспользоваться функцией в разделе 'Продукты и услуги'. Услуга доступна круглосуточно.,Интернет-банк
80,Как перевести деньги на другую карту? (онлайн),Не сообщайте свои данные третьим лицам — это важно для вашей безопасности. Процесс занимает несколько минут.,Безопасность
81,Как открыть вклад онлайн? (по телефону),Вы можете оформить услугу онлайн или в отделении банка. Понадобятся ваши паспортные данные.,Ипотека
82,Как открыть вклад онлайн? (онлайн),Не сообщайте свои данные третьим лицам — это важно для вашей безопасности. Процесс занимает несколько минут.,Кэшбэк и бонусы
83,Как связаться со службой поддержки? (онлайн),Вы получите уведомление после завершения операции. Ответ придет на ваш email.,Личные данные
84,Как оформить страхование путешественников? (на сайте),Вы можете оформить услугу онлайн или в отделении банка. Понадобятся ваши паспортные данные.,Ипотека
85,Как восстановить доступ к мобильному приложению? (в отделении),"Услуга доступна клиентам, прошедшим идентификацию. Услуга доступна круглосуточно.",Комиссии и тарифы
86,Как узнать тариф по карте? (в отделении),Проверьте актуальные условия на сайте банка. Услуга доступна круглосуточно.,Кредиты
87,Как оплатить коммунальные услуги? (через приложение),Для этого потребуется авторизация в мобильном приложении или интернет-банке. Ответ придет на ваш email.,Юридические лица
88,Как сменить пароль в интернет-банке? (на сайте),Оформление занимает несколько минут и не требует визита в офис. Процесс занимает несколько минут.,Комиссии и тарифы
89,Как обменять валюту онлайн? (в отделении),Для уточнения информации обратитесь в ближайшее отделение. Понадобятся ваши паспортные данные.,Поддержка
90,Как подать заявку на ипотеку? (в отделении),Проверьте актуальные условия на сайте банка. Процесс занимает несколько минут.,Комиссии и тарифы
91,Как восстановить доступ к мобильному приложению? (по телефону),"Услуга доступна клиентам, прошедшим идентификацию. Понадобятся ваши паспортные данные.",Бизнес
92,Как сменить пароль в интернет-банке? (в отделении),Вы получите уведомление после завершения операции. Ответ придет на ваш email.,Валюта и обмен
93,Как оплатить коммунальные услуги? (на сайте),Не сообщайте свои данные третьим лицам — это важно для вашей безопасности. Услуга доступна круглосуточно.,Страхование
94,Как открыть вклад онлайн? (на сайте),"Услуга доступна клиентам, прошедшим идентификацию. Понадобятся ваши паспортные данные.",Страхование
95,Как открыть счёт на юридическое лицо? (онлайн),Оформление занимает несколько минут и не требует визита в офис. Понадобятся ваши паспортные данные.,Ипотека
96,Как перевести деньги на другую карту? (через приложение),Вы получите уведомление после завершения операции. Ответ придет на ваш email.,Зарплатные проекты
97,Как инвестировать через банк? (онлайн),Вы можете воспользоваться функцией в разделе 'Продукты и услуги'. Процесс занимает несколько минут.,Мобильное приложение
98,Как обменять валюту онлайн? (на сайте),Вы можете оформить услугу онлайн или в отделении банка. Услуга доступна круглосуточно.,Безопасность
99,Как открыть вклад онлайн? (через приложение),При возникновении проблем обратитесь в службу поддержки банка. Ответ придет на ваш email.,Бизнес
100,Как открыть расчётный счёт для бизнеса? (онлайн),Вы можете оформить услугу онлайн или в отделении банка. Услуга доступна круглосуточно.,Инвестиции
101,Как обменять валюту онлайн? (на сайте),Вы можете воспользоваться функцией в разделе 'Продукты и услуги'. Процесс занимает несколько минут.,Переводы
102,Как узнать тариф по карте? (по телефону),Проверьте актуальные условия на сайте банка. Понадобятся ваши паспортные данные.,Бизнес
103,Что делать при технических ошибках? (в отделении),Не сообщайте свои данные третьим лицам — это важно для вашей безопасности. Услуга доступна круглосуточно.,Интернет-банк
104,Как перевести деньги на другую карту? (по телефону),Вы можете оформить услугу онлайн или в отделении банка. Услуга доступна круглосуточно.,Кэшбэк и бонусы
105,Как получить кредит наличными? (на сайте),Оформление занимает несколько минут и не требует визита в офис. Процесс занимает несколько минут.,Платежи
106,Как оплатить коммунальные услуги? (через приложение),Вы получите уведомление после завершения операции. Понадобятся ваши паспортные данные.,Юридические лица
107,Как оформить дебетовую карту? (онлайн),"Услуга доступна клиентам, прошедшим идентификацию. Понадобятся ваши паспортные данные.",Карты
108,"Что делать, если потерял карту? (по телефону)",Вы получите уведомление после завершения операции. Процесс занимает несколько минут.,Кэшбэк и бонусы
109,Что делать при технических ошибках? (через приложение),Не сообщайте свои данные третьим лицам — это важно для вашей безопасности. Процесс занимает несколько минут.,Личные данные
110,Как обменять валюту онлайн? (по телефону),Оформление занимает несколько минут и не требует визита в офис. Понадобятся ваши паспортные данные.,Технические вопросы
111,Как перевести деньги на другую карту? (через приложение),Не сообщайте свои данные третьим лицам — это важно для вашей безопасности. Понадобятся ваши паспортные данные.,Ипотека
112,Как узнать тариф по карте? (в отделении),Для уточнения информации обратитесь в ближайшее отделение. Ответ придет на ваш email.,Безопасность
113,Как подключить зарплатный проект? (в отделении),Вы можете воспользоваться функцией в разделе 'Продукты и услуги'. Услуга доступна круглосуточно.,Карты
114,Как перевести деньги на другую карту? (через приложение),Вы можете воспользоваться функцией в разделе 'Продукты и услуги'. Процесс занимает несколько минут.,Страхование
115,Как открыть счёт на юридическое лицо? (на сайте),Для этого потребуется авторизация в мобильном приложении или интернет-банке. Услуга доступна круглосуточно.,Карты
116,Как перевести деньги на другую карту? (онлайн),Для уточнения информации обратитесь в ближайшее отделение. Услуга доступна круглосуточно.,Переводы
117,Как сменить пароль в интернет-банке? (на сайте),Вы получите уведомление после завершения операции. Услуга доступна круглосуточно.,Технические вопросы
118,Как восстановить доступ к мобильному приложению? (через приложение),Вы получите уведомление после завершения операции. Понадобятся ваши паспортные данные.,Личные данные
119,Как восстановить доступ к мобильному приложению? (на сайте),"Услуга доступна клиентам, прошедшим идентификацию. Понадобятся ваши паспортные данные.",Кэшбэк и бонусы
120,Как открыть расчётный счёт для бизнеса? (онлайн),Для уточнения информации обратитесь в ближайшее отделение. Ответ придет на ваш email.,Технические вопросы
121,Как обменять валюту онлайн? (через приложение),Оформление занимает несколько минут и не требует визита в офис. Ответ придет на ваш email.,Личные данные
122,"Что делать, если потерял карту? (через приложение)",При возникновении проблем обратитесь в службу поддержки банка. Процесс занимает несколько минут.,Вклады
123,Как получить кредит наличными? (в отделении),Для уточнения информации обратитесь в ближайшее отделение. Услуга доступна круглосуточно.,Личные данные
124,Как подать заявку на ипотеку? (по телефону),"Услуга доступна клиентам, прошедшим идентификацию. Процесс занимает несколько минут.",Поддержка
125,Как открыть счёт на юридическое лицо? (через приложение),Для этого потребуется авторизация в мобильном приложении или интернет-банке. Ответ придет на ваш email.,Платежи
126,Как сменить пароль в интернет-банке? (онлайн),Вы можете воспользоваться функцией в разделе 'Продукты и услуги'. Процесс занимает несколько минут.,Переводы
127,Как обновить личные данные? (через приложение),Вы можете воспользоваться функцией в разделе 'Продукты и услуги'. Процесс занимает несколько минут.,Зарплатные проекты
128,Как обменять валюту онлайн? (на сайте),При возникновении проблем обратитесь в службу поддержки банка. Услуга доступна круглосуточно.,Платежи
129,Как открыть счёт на юридическое лицо? (по телефону),Для уточнения информации обратитесь в ближайшее отделение. Процесс занимает несколько минут.,Зарплатные проекты
130,Как открыть вклад онлайн? (онлайн),Для уточнения информации обратитесь в ближайшее отделение. Процесс занимает несколько минут.,Карты
131,Как получить кредит наличными? (в отделении),Для этого потребуется авторизация в мобильном приложении или интернет-банке. Понадобятся ваши паспортные данные.,Личные данные
132,Как работает кэшбэк по картам? (на сайте),При возникновении проблем обратитесь в службу поддержки банка. Понадобятся ваши паспортные данные.,Переводы
133,Как оформить дебетовую карту? (на сайте),Вы получите уведомление после завершения операции. Процесс занимает несколько минут.,Интернет-банк
134,Как оформить страхование путешественников? (через приложение),Вы можете воспользоваться функцией в разделе 'Продукты и услуги'. Понадобятся ваши паспортные данные.,Юридические лица
135,Как получить кредит наличными? (в отделении),Вы можете воспользоваться функцией в разделе 'Продукты и услуги'. Процесс занимает несколько минут.,Инвестиции
136,Как подать заявку на ипотеку? (в отделении),Для этого потребуется авторизация в мобильном приложении или интернет-банке. Понадобятся ваши паспортные данные.,Платежи
137,Как инвестировать через банк? (онлайн),При возникновении проблем обратитесь в службу поддержки банка. Процесс занимает несколько минут.,Инвестиции
138,Как открыть вклад онлайн? (через приложение),Вы можете воспользоваться функцией в разделе 'Продукты и услуги'. Услуга доступна круглосуточно.,Интернет-банк
139,Как оформить страхование путешественников? (в отделении),Оформление занимает несколько минут и не требует визита в офис. Ответ придет на ваш email.,Карты
140,Как оплатить коммунальные услуги? (на сайте),Для уточнения информации обратитесь в ближайшее отделение. Процесс занимает несколько минут.,Инвестиции
141,Что делать при технических ошибках? (онлайн),При возникновении проблем обратитесь в службу поддержки банка. Ответ придет на ваш email.,Бизнес
142,Как оплатить коммунальные услуги? (на сайте),Для этого потребуется авторизация в мобильном приложении или интернет-банке. Понадобятся ваши паспортные данные.,Валюта и обмен
143,Что делать при технических ошибках? (на сайте),Проверьте актуальные условия на сайте банка. Понадобятся ваши паспортные данные.,Юридические лица
144,Как перевести деньги на другую карту? (в отделении),Вы можете оформить услугу онлайн или в отделении банка. Ответ придет на ваш email.,Бизнес
145,Как сменить пароль в интернет-банке? (в отделении),"Услуга доступна клиентам, прошедшим идентификацию. Услуга доступна круглосуточно.",Вклады
146,Как открыть вклад онлайн? (на сайте),"Услуга доступна клиентам, прошедшим идентификацию. Понадобятся ваши паспортные данные.",Кэшбэк и бонусы
147,Как подключить зарплатный проект? (на сайте),Не сообщайте свои данные третьим лицам — это важно для вашей безопасности. Процесс занимает несколько минут.,Личные данные
148,Как оформить дебетовую карту? (онлайн),При возникновении проблем обратитесь в службу поддержки банка. Процесс занимает несколько минут.,Переводы
149,Как обновить личные данные? (через приложение),Вы можете воспользоваться функцией в разделе 'Продукты и услуги'. Процесс занимает несколько минут.,Страхование
150,Как оформить дебетовую карту? (по телефону),Для этого потребуется авторизация в мобильном приложении или интернет-банке. Ответ придет на ваш email.,Платежи
151,Как обменять валюту онлайн? (на сайте),Для уточнения информации обратитесь в ближайшее отделение. Процесс занимает несколько минут.,Платежи
152,Как обновить личные данные? (в отделении),Вы получите уведомление после завершения операции. Ответ придет на ваш email.,Зарплатные проекты
153,Как связаться со службой поддержки? (в отделении),Оформление занимает несколько минут и не требует визита в офис. Ответ придет на ваш email.,Инвестиции
154,Как оформить страхование путешественников? (через приложение),Для этого потребуется авторизация в мобильном приложении или интернет-банке. Услуга доступна круглосуточно.,Личные данные
155,"Что делать, если потерял карту? (через приложение)","Услуга доступна клиентам, прошедшим идентификацию. Понадобятся ваши паспортные данные.",Мобильное приложение
156,Как открыть вклад онлайн? (онлайн),Проверьте актуальные условия на сайте банка. Услуга доступна круглосуточно.,Интернет-банк
157,Как обновить личные данные? (в отделении),При возникновении проблем обратитесь в службу поддержки банка. Понадобятся ваши паспортные данные.,Зарплатные проекты
158,Как перевести деньги на другую карту? (по телефону),Вы можете оформить услугу онлайн или в отделении банка. Услуга доступна круглосуточно.,Технические вопросы
159,Как обновить личные данные? (на сайте),"Услуга доступна клиентам, прошедшим идентификацию. Услуга доступна круглосуточно.",Вклады
160,Как оформить дебетовую карту? (онлайн),Оформление занимает несколько минут и не требует визита в офис. Ответ придет на ваш email.,Кэшбэк и бонусы
161,Как открыть расчётный счёт для бизнеса? (в отделении),Не сообщайте свои данные третьим лицам — это важно для вашей безопасности. Услуга доступна круглосуточно.,Платежи
162,Как оформить дебетовую карту? (по телефону),Оформление занимает несколько минут и не требует визита в офис. Ответ придет на ваш email.,Бизнес
163,Как подать заявку на ипотеку? (через приложение),Для этого потребуется авторизация в мобильном приложении или интернет-банке. Услуга доступна круглосуточно.,Вклады
164,Как перевести деньги на другую карту? (на сайте),Не сообщайте свои данные третьим лицам — это важно для вашей безопасности. Процесс занимает несколько минут.,Технические вопросы
165,Что делать при технических ошибках? (на сайте),Не сообщайте свои данные третьим лицам — это важно для вашей безопасности. Процесс занимает несколько минут.,Ипотека
166,Как получить кредит наличными? (в отделении),При возникновении проблем обратитесь в службу поддержки банка. Понадобятся ваши паспортные данные.,Поддержка
167,Что делать при технических ошибках? (через приложение),Вы можете оформить услугу онлайн или в отделении банка. Понадобятся ваши паспортные данные.,Платежи
168,Как открыть расчётный счёт для бизнеса? (на сайте),Для этого потребуется авторизация в мобильном приложении или интернет-банке. Ответ придет на ваш email.,Платежи
169,Как сменить пароль в интернет-банке? (по телефону),Для уточнения информации обратитесь в ближайшее отделение. Услуга доступна круглосуточно.,Вклады
170,Как инвестировать через банк? (в отделении),Вы получите уведомление после завершения операции. Процесс занимает несколько минут.,Безопасность
171,Как подключить зарплатный проект? (по телефону),Вы получите уведомление после завершения операции. Процесс занимает несколько минут.,Страхование
172,Как оплатить коммунальные услуги? (через приложение),"Услуга доступна клиентам, прошедшим идентификацию. Понадобятся ваши паспортные данные.",Ипотека
173,Как оформить дебетовую карту? (по телефону),Оформление занимает несколько минут и не требует визита в офис. Понадобятся ваши паспортные данные.,Ипотека
174,Как оплатить коммунальные услуги? (по телефону),Проверьте актуальные условия на сайте банка. Понадобятся ваши паспортные данные.,Валюта и обмен
175,Как сменить пароль в интернет-банке? (в отделении),"Услуга доступна клиентам, прошедшим идентификацию. Услуга доступна круглосуточно.",Карты
176,Как связаться со службой поддержки? (в отделении),Проверьте актуальные условия на сайте банка. Понадобятся ваши паспортные данные.,Личные данные
177,Как открыть расчётный счёт для бизнеса? (на сайте),Вы получите уведомление после завершения операции. Ответ придет на ваш email.,Ипотека
178,Как перевести деньги на другую карту? (по телефону),Вы можете воспользоваться функцией в разделе 'Продукты и услуги'. Услуга доступна круглосуточно.,Интернет-банк
179,Как инвестировать через банк? (в отделении),Вы получите уведомление после завершения операции. Услуга доступна круглосуточно.,Поддержка
180,Как инвестировать через банк? (через приложение),Для уточнения информации обратитесь в ближайшее отделение. Понадобятся ваши паспортные данные.,Переводы
181,Как открыть счёт на юридическое лицо? (на сайте),Вы можете воспользоваться функцией в разделе 'Продукты и услуги'. Процесс занимает несколько минут.,Кредиты
182,Как сменить пароль в интернет-банке? (на сайте),Оформление занимает несколько минут и не требует визита в офис. Ответ придет на ваш email.,Страхование
183,Как узнать тариф по карте? (онлайн),Для этого потребуется авторизация в мобильном приложении или интернет-банке. Понадобятся ваши паспортные данные.,Поддержка
184,Как узнать тариф по карте? (по телефону),Для уточнения информации обратитесь в ближайшее отделение. Процесс занимает несколько минут.,Валюта и обмен
185,Как работает кэшбэк по картам? (на сайте),При возникновении проблем обратитесь в службу поддержки банка. Ответ придет на ваш email.,Вклады
186,Как обменять валюту онлайн? (через приложение),Вы можете оформить услугу онлайн или в отделении банка. Ответ придет на ваш email.,Технические вопросы
187,Как получить кредит наличными? (онлайн),"Услуга доступна клиентам, прошедшим идентификацию. Ответ придет на ваш email.",Юридические лица
188,Как открыть расчётный счёт для бизнеса? (в отделении),Вы можете оформить услугу онлайн или в отделении банка. Понадобятся ваши паспортные данные.,Ипотека
189,Как получить кредит наличными? (онлайн),Вы можете воспользоваться функцией в разделе 'Продукты и услуги'. Понадобятся ваши паспортные данные.,Переводы
190,Как открыть счёт на юридическое лицо? (через приложение),Оформление занимает несколько минут и не требует визита в офис. Услуга доступна круглосуточно.,Страхование
191,Как инвестировать через банк? (в отделении),Вы можете оформить услугу онлайн или в отделении банка. Процесс занимает несколько минут.,Мобильное приложение
192,"Что делать, если потерял карту? (по телефону)",При возникновении проблем обратитесь в службу поддержки банка. Услуга доступна круглосуточно.,Карты
193,Как обновить личные данные? (в отделении),Для этого потребуется авторизация в мобильном приложении или интернет-банке. Понадобятся ваши паспортные данные.,Кредиты
194,"Что делать, если потерял карту? (онлайн)",Вы можете воспользоваться функцией в разделе 'Продукты и услуги'. Услуга доступна круглосуточно.,Кэшбэк и бонусы
195,Как сменить пароль в интернет-банке? (через приложение),Оформление занимает несколько минут и не требует визита в офис. Понадобятся ваши паспортные данные.,Платежи
196,Как связаться со службой поддержки? (в отделении),Для уточнения информации обратитесь в ближайшее отделение. Услуга доступна круглосуточно.,Мобильное приложение
197,Как открыть вклад онлайн? (на сайте),Вы можете оформить услугу онлайн или в отделении банка. Услуга доступна круглосуточно.,Технические вопросы
198,Как работает кэшбэк по картам? (по телефону),Вы можете воспользоваться функцией в разделе 'Продукты и услуги'. Услуга доступна круглосуточно.,Валюта и обмен
199,Как работает кэшбэк по картам? (онлайн),Оформление занимает несколько минут и не требует визита в офис. Ответ придет на ваш email.,Юридические лица
200,Как сменить пароль в интернет-банке? (по телефону),Вы можете оформить услугу онлайн или в отделении банка. Процесс занимает несколько минут.,Юридические лица
201,Как сменить пароль в интернет-банке? (на сайте),Для этого потребуется авторизация в мобильном приложении или интернет-банке. Услуга доступна круглосуточно.,Зарплатные проекты
202,Что делать при технических ошибках? (на сайте),Для уточнения информации обратитесь в ближайшее отделение. Процесс занимает несколько минут.,Ипотека
203,Как перевести деньги на другую карту? (в отделении),Не сообщайте свои данные третьим лицам — это важно для вашей безопасности. Услуга доступна круглосуточно.,Технические вопросы
204,Как подключить зарплатный проект? (на сайте),Вы можете оформить услугу онлайн или в отделении банка. Ответ придет на ваш email.,Карты
205,Как подключить зарплатный проект? (на сайте),"Услуга доступна клиентам, прошедшим идентификацию. Понадобятся ваши паспортные данные.",Инвестиции
206,Как сменить пароль в интернет-банке? (онлайн),Вы можете оформить услугу онлайн или в отделении банка. Понадобятся ваши паспортные данные.,Комиссии и тарифы
